size, blocking, non-blocking, non-blocking send, non-blocking receive
1, 2.4994, 1.3191, 1.2403, 1.3136
8, 3.0743, 1.5598, 1.4989, 1.5523
64, 4.5198, 4.2812, 2.3459, 2.4292
512, 9.5512, 3.6848, 3.5253, 3.5679
4096, 17.9302, 9.4595, 9.0361, 7.8927
32768, 38.3231, 28.8127, 28.6313, 28.5789
