P, ijk, ikj, jki, mxm2,
1, 198278.749, 123204.260, 202265.028, 123115.609,
2, 125206.947, 64594.359, 116616.005, 63621.858,
4, 73943.694, 32260.027, 79531.973, 31806.725,
8, 33749.781, 16456.202, 34307.372, 16280.301,
16, 16956.829, 7956.927, 16675.966, 7842.724,
24, 10581.376, 5830.204, 10827.591, 5738.329,
36, 7641.136, 4029.337, 8178.951, 3937.749,
48, 5969.557, 3353.078, 7023.351, 3339.759,
