P, ijk, ikj, jki, mxm2,
1, 988481.224, 634927.425, 1068827.144, 624722.512,
2, 507846.618, 302455.798, 537548.408, 297504.845,
4, 317034.528, 148788.654, 319973.793, 146649.005,
8, 164552.945, 72007.085, 173998.561, 70841.368,
16, 77363.293, 36438.109, 88065.484, 35869.570,
24, 56193.108, 24677.124, 61464.983, 24317.359,
36, 38759.030, 17226.096, 44447.299, 17040.409,
48, 29212.768, 14416.840, 33819.247, 14073.297,
