P, ijk, ikj, jki, mxm2,
1, 6.533, 6.358, 6.413, 6.260,
2, 2.950, 2.948, 2.925, 2.849,
4, 2.438, 2.446, 2.490, 2.477,
8, 1.295, 1.255, 1.436, 1.283,
16, 0.708, 0.625, 3.052, 0.652,
24, 0.637, 0.457, 2.284, 0.489,
36, 0.430, 0.326, 2.803, 0.353,
48, 1.616, 1.029, 3.497, 0.324,
